==6351== NVPROF is profiling process 6351, command: python train.py --num-epochs=1 --train-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/vggface2_train_182 --valid-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/lfw_mtcnnpy_182 --train-csv-name datasets/train_small.csv -
==6351== Profiling application: python train.py --num-epochs=1 --train-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/vggface2_train_182 --valid-root-dir /data/cxlan/DC_AIBench_Component/dataset/Face_embedding/lfw_mtcnnpy_182 --train-csv-name datasets/train_small.csv -
==6351== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",0.850737,0.754404,1884,0.400426,0.089312,0.431999,"void at::native::_GLOBAL__N__63_tmpxft_000083f9_00000000_11_DilatedMaxPool2d_compute_75_cpp1_ii_db999de0::max_pool_forward_nchw<float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__63_tmpxft_000083f9_00000000_11_DilatedMaxPool2d_compute_75_cpp1_ii_db999de0::max_pool_forward_nchw<float, float>*, long*)"
"GPU activities",0.727909,0.645484,471,1.370453,0.333375,1.421084,"void at::native::_GLOBAL__N__63_tmpxft_000083f9_00000000_11_DilatedMaxPool2d_compute_75_cpp1_ii_db999de0::max_pool_backward_nchw<float, float>(int, float const *, long const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__63_tmpxft_000083f9_00000000_11_DilatedMaxPool2d_compute_75_cpp1_ii_db999de0::max_pool_backward_nchw<float, float>*)"
"GPU activities",0.596592,0.529037,10851,0.048754,0.008864,0.124000,"void cudnn::winograd_nonfused::winogradWgradOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradWgradOutputParams<float, float>)"
"GPU activities",0.545287,0.483541,942,0.513313,0.075168,0.910717,"void cudnn::detail::dgrad_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1>*, kernel_grad_params, int, int, float, int, int, int)"
"GPU activities",0.500345,0.443688,939,0.472511,0.136255,0.537375,"volta_scudnn_128x128_stridedB_splitK_small_nn_v1"
"GPU activities",0.403991,0.358245,942,0.380302,0.069376,0.605822,"void cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1, int=512>(int, int, int, float const *, int, cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1, int=512>*, float const , kernel_grad_params, int, float, int, int, int, int)"
"GPU activities",0.338741,0.300383,1611,0.186457,0.146559,0.215647,"void fft2d_c2r_32x32<float, bool=1, bool=0, unsigned int=0, bool=0, bool=0>(float*, float2 const *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, float*, float*, int2, int, int)"
"GPU activities",0.334071,0.296242,11847,0.025005,0.008032,0.034752,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>(cudnnTensorStruct, float const *, cudnn::detail::bn_fw_tr_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>, cudnnTensorStruct*, float const *, float const , float, float, float*, float const *, float const *, float const *, float, float, cudnn::reduced_divisor, int, float*, cudnn::detail::bnFwPersistentState*, int, float, float, float, int, float, float, cudnnStatus_t*, bool)"
"GPU activities",0.286513,0.254070,1872,0.135721,0.116384,0.163359,"void fft2d_r2c_32x32<float, bool=1, unsigned int=0, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
"GPU activities",0.285792,0.253430,3780,0.067045,0.022272,0.095840,"volta_scudnn_128x64_relu_interior_nn_v1"
"GPU activities",0.262382,0.232672,3276,0.071023,0.047136,0.112543,"void fft2d_r2c_32x32<float, bool=0, unsigned int=1, bool=0>(float2*, float const *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)"
"GPU activities",0.183415,0.162646,546,0.297887,0.090975,0.461022,"volta_scudnn_128x128_relu_small_nn_v1"
"GPU activities",0.176115,0.156173,37837,0.004127,0.000991,0.035680,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZNS0_23gpu_kernel_with_scalarsIZZZNS0_15mul_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_EEvS5_RKT_EUlfE0_EEvS5_SB_EUliE_EEviT1_"
"GPU activities",0.175185,0.155348,1872,0.082984,0.052288,0.100192,"volta_scudnn_128x128_relu_interior_nn_v1"
"GPU activities",0.161262,0.143001,18322,0.007804,0.000735,0.233663,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_16fill_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlvE_EEvS4_RKT_EUliE0_EEviT1_"
"GPU activities",0.158871,0.140881,1884,0.074777,0.063071,0.094048,"volta_sgemm_32x32_sliced1x4_tn"
"GPU activities",0.141114,0.125135,33912,0.003689,0.001440,0.018336,"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_15gpu_kernel_implIZNS0_23gpu_kernel_with_scalarsIZZZNS0_15add_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE4_clEvEUlllE_EEvS5_RKT_EUllE0_EEvS5_SD_EUliE2_EEviT1_"
"GPU activities",0.132382,0.117392,17270,0.006797,0.001216,0.069056,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_19addcdiv_cuda_kernelERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlfffE_EEvS4_RKT_EUliE0_EEviT1_"
"GPU activities",0.117704,0.104376,3336,0.031287,0.011744,0.033376,"void cudnn::detail::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>(float, float, float, float, cudnnTensorStruct, float const *, cudnn::detail::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>, float const , cudnn::detail::bn_bw_1C11_singleread<float, int=512, bool=1, int=1, int=2, int=0>, cudnnTensorStruct*, float const *, float*, float const *, float const , float const , float, cudnn::reduced_divisor, int, float*, cudnn::detail::bnBwPersistentState*, int, float, float, float, int, float, cudnnStatus_t*, bool)"
"GPU activities",0.104024,0.092245,6579,0.014021,0.001184,0.060768,"void scalePackedTensor_kernel<float, float>(cudnnTensor4dStruct, float*, float)"
"GPU activities",0.095426,0.084620,474,0.178523,0.052736,0.212223,"void cudnn::detail::dgrad_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=1>*, kernel_grad_params, int, int, float, int, int, int)"
"GPU activities",0.089261,0.079154,1884,0.042013,0.002527,0.094752,"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_"
"GPU activities",0.088268,0.078273,17270,0.004532,0.000864,0.051264,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_19addcmul_cuda_kernelERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlfffE_EEvS4_RKT_EUliE0_EEviT1_"
"GPU activities",0.083730,0.074249,21352,0.003477,0.001024,0.035680,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZNS0_23gpu_kernel_with_scalarsIZZZNS0_15add_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlffE_EEvS5_RKT_EUlfE0_EEvS5_SD_EUliE_EEviT1_"
"GPU activities",0.076876,0.068171,19154,0.003559,0.000928,0.035647,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_16sqrt_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE0_clEvEUlfE_EEvS4_RKT_EUliE0_EEviT1_"
"GPU activities",0.076706,0.068020,471,0.144416,0.060736,0.149440,"volta_scudnn_128x128_stridedB_splitK_interior_nn_v1"
"GPU activities",0.075370,0.066835,17427,0.003835,0.001024,0.036096,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_15div_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE0_clEvEUlfE_EEvS4_RKT_EUliE_EEviT1_"
"GPU activities",0.068497,0.060740,474,0.128144,0.055008,0.252159,"void cudnn::detail::dgrad_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=1>*, kernel_grad_params, int, int, float, int, int, int)"
"GPU activities",0.058218,0.051625,471,0.109608,0.049984,0.115520,"void cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, int=512>(int, int, int, float const *, int, cudnn::detail::wgrad_alg0_engine<float, int=128, int=6, int=8, int=3, int=3, int=5, bool=1, int=512>*, float const , kernel_grad_params, int, float, int, int, int, int)"
"GPU activities",0.052079,0.046182,11577,0.003989,0.001408,0.018240,"cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams)"
"GPU activities",0.025191,0.022338,1476,0.015134,0.000800,3.448117,"[CUDA memcpy DtoH]"
"GPU activities",0.024239,0.021495,4221,0.005092,0.001248,0.018272,"cudnn::gemm::computeWgradBOffsetsKernel(cudnn::gemm::ComputeBOffsetsParams)"
"GPU activities",0.018256,0.016189,471,0.034371,0.020896,0.036480,"volta_sgemm_128x32_nn"
"GPU activities",0.016610,0.014729,477,0.030879,0.019424,0.039712,"volta_sgemm_128x32_tn"
"GPU activities",0.016164,0.014334,2826,0.005072,0.003648,0.020320,"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIfNS0_14func_wrapper_tIfZNS0_15sum_kernel_implIfffEEvRNS_14TensorIteratorEEUlffE_EEjfLi4EEEEEvT0_"
"GPU activities",0.015150,0.013435,2826,0.004753,0.002976,0.014912,"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_15gpu_kernel_implIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE_clEvENKUlvE2_clEvEUlfE_EEvS4_RKT_EUliE2_EEviT1_"
"GPU activities",0.014938,0.013247,465,0.028487,0.027264,0.035616,"volta_sgemm_64x64_tn"
"GPU activities",0.012123,0.010751,1884,0.005706,0.003328,0.009312,"void at::native::reduce_kernel<int=512, at::native::ReduceOp<float, at::native::NormOps<float>, unsigned int, float, int=4>>(float)"
"GPU activities",0.010038,0.008902,2355,0.003779,0.003520,0.009664,"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_15gpu_kernel_implIZZZNS0_15div_kernel_cudaERNS_14TensorIteratorEENKUlvE0_clEvENKUlvE2_clEvEUlffE_EEvS4_RKT_EUliE2_EEviT1_"
"GPU activities",0.008279,0.007342,1884,0.003896,0.001216,0.015711,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZNS0_80_GLOBAL__N__56_tmpxft_00008b83_00000000_11_PowKernel_compute_75_cpp1_ii_8effb76d29pow_tensor_scalar_kernel_implIffEEvRNS_14TensorIteratorET0_EUlfE0_EEvS6_RKT_EUliE0_EEviT1_"
"GPU activities",0.008072,0.007158,8462,0.000845,0.000608,0.009888,"[CUDA memset]"
"GPU activities",0.007430,0.006588,471,0.013988,0.011424,0.017440,"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::BlockSortAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long, bool=0>, thrust::detail::integral_constant<bool, bool=1>, thrust::detail::integral_constant<bool, bool=0>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long, bool=0>>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, bool=0, ThrustLTOp<long, bool=0>, bool)"
"GPU activities",0.007422,0.006581,4221,0.001559,0.001280,0.009952,"cudnn::gemm::computeWgradSplitKOffsetsKernel(cudnn::gemm::ComputeOffsetsParams)"
"GPU activities",0.005038,0.004467,1256,0.003556,0.001184,0.016224,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_15div_kernel_cudaERNS_14TensorIteratorEENKUlvE0_clEvENKUlvE2_clEvEUlffE_EEvS4_RKT_EUliE0_EEviT1_"
"GPU activities",0.004725,0.004190,1099,0.003812,0.001024,0.015200,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_15mul_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_EEvS4_RKT_EUliE0_EEviT1_"
"GPU activities",0.003530,0.003130,471,0.006645,0.006432,0.006943,"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_15gpu_kernel_implIZNS0_23gpu_kernel_with_scalarsIZZZNS0_15mul_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_EEvS5_RKT_EUlfE0_EEvS5_SB_EUliE1_EEviT1_"
"GPU activities",0.002821,0.002502,942,0.002656,0.000896,0.015360,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_15neg_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlfE_EEvS4_RKT_EUliE0_EEviT1_"
"GPU activities",0.002785,0.002470,942,0.002621,0.000928,0.015968,"[CUDA memcpy DtoD]"
"GPU activities",0.002706,0.002400,18,0.133313,0.130080,0.136032,"volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1"
"GPU activities",0.002658,0.002357,785,0.003002,0.001952,0.004128,"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_15gpu_kernel_implIZZZNS0_15mul_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_EEvS4_RKT_EUliE2_EEviT1_"
"GPU activities",0.001459,0.001294,628,0.002060,0.001728,0.003008,"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_"
"GPU activities",0.001335,0.001184,314,0.003769,0.003616,0.004736,"void at::native::reduce_kernel<int=512, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, int=4>>(float)"
"GPU activities",0.000866,0.000768,471,0.001630,0.001440,0.001952,"void _GLOBAL__N__55_tmpxft_000087ff_00000000_11_Indexing_compute_75_cpp1_ii_3eb26cd1::indexing_backward_kernel<float, int=4>(long*, _GLOBAL__N__55_tmpxft_000087ff_00000000_11_Indexing_compute_75_cpp1_ii_3eb26cd1::indexing_backward_kernel<float, int=4>, float*, float, long, long, long, long)"
"GPU activities",0.000732,0.000649,471,0.001378,0.001216,0.001920,"void kernelPointwiseApply2<TensorRemainderOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorRemainderOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)"
"GPU activities",0.000668,0.000592,314,0.001885,0.001824,0.002336,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZNS0_23gpu_kernel_with_scalarsIZZZNS0_14lt_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_EEvS5_RKT_EUlfE0_EEvS5_SB_EUliE_EEviT1_"
"GPU activities",0.000644,0.000572,471,0.001213,0.001056,0.001504,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZNS0_23gpu_kernel_with_scalarsIZZZNS0_15div_kernel_cudaERNS_14TensorIteratorEENKUlvE0_clEvENKUlvE4_clEvEUlllE_EEvS5_RKT_EUllE0_EEvS5_SB_EUliE0_EEviT1_"
"GPU activities",0.000603,0.000535,471,0.001135,0.000992,0.001440,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZNS0_23gpu_kernel_with_scalarsIZZZNS0_15mul_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE4_clEvEUlllE_EEvS5_RKT_EUllE0_EEvS5_SB_EUliE0_EEviT1_"
"GPU activities",0.000554,0.000491,314,0.001564,0.001152,0.002400,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZNS0_23gpu_kernel_with_scalarsIZZZNS0_14eq_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_EEvS5_RKT_EUlfE0_EEvS5_SB_EUliE_EEviT1_"
"GPU activities",0.000504,0.000447,471,0.000949,0.000832,0.001504,"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<long>, thrust::cuda_cub::__transform::no_stencil_tag, thrust::identity<long>, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<long>, thrust::cuda_cub::__transform::no_stencil_tag, thrust::identity<long>, thrust::cuda_cub::__transform::always_true_predicate>, long>(thrust::use_default, thrust::use_default)"
"GPU activities",0.000453,0.000402,314,0.001280,0.001152,0.001984,"void kernelPointwiseApply2<TensorMaxValueOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMaxValueOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)"
"GPU activities",0.000441,0.000391,3,0.130432,0.129760,0.131296,"volta_scudnn_128x64_stridedB_splitK_small_nn_v1"
"GPU activities",0.000389,0.000345,314,0.001099,0.000896,0.001536,"void kernelPointwiseApply2<TensorMaskedFillOp<float, bool>, float, bool, unsigned int, int=1, int=1>(OffsetInfo<bool, float, bool>, OffsetInfo<TensorMaskedFillOp<float, bool>, float, unsigned int>, float, float)"
"GPU activities",0.000337,0.000299,157,0.001901,0.001824,0.002400,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZNS0_23gpu_kernel_with_scalarsIZZZNS0_14ge_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_EEvS5_RKT_EUlfE0_EEvS5_SB_EUliE_EEviT1_"
"GPU activities",0.000330,0.000293,157,0.001863,0.001792,0.002208,"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_15gpu_kernel_implIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE_clEvENKUlvE2_clEvEUlfE_EEvS4_RKT_EUliE_EEviT1_"
"GPU activities",0.000319,0.000283,157,0.001804,0.001728,0.002304,"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_15gpu_kernel_implIZZZNS0_16fill_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlvE_EEvS4_RKT_EUliE2_EEviT1_"
"GPU activities",0.000067,0.000060,18,0.003322,0.003104,0.003456,"void cudnn::winograd::generateWinogradTilesKernel<int=0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<float, float>)"
"GPU activities",0.000064,0.000057,3,0.018890,0.018783,0.019104,"volta_sgemm_128x32_nt"
"API calls",54.083524,34.048146,6280,5.421679,0.009967,53.232920,"cudaMemcpyAsync"
"API calls",33.180399,20.888636,986733,0.021169,0.005296,2868.886995,"cudaLaunchKernel"
"API calls",4.220108,2.656758,4749553,0.000559,0.000264,4.042582,"cudaGetDevice"
"API calls",2.516899,1.584507,2462750,0.000643,0.000288,5.622324,"cudaSetDevice"
"API calls",2.512079,1.581473,6280,0.251826,0.001944,32.962002,"cudaStreamSynchronize"
"API calls",1.509165,0.950091,349584,0.002717,0.000521,9.833262,"cudaEventRecord"
"API calls",0.664050,0.418051,317547,0.001316,0.000555,1.104786,"cudaStreamWaitEvent"
"API calls",0.545594,0.343477,1008860,0.000340,0.000106,0.958053,"cudaGetLastError"
"API calls",0.272877,0.171789,8462,0.020301,0.006805,2.847457,"cudaMemsetAsync"
