load ./log/checkpoint_epoch100.pth
================================================================================
Epoch [101/300]
Test time : 69.6158230304718 s
i,	,y,	p
359 0.0 1.5716805
360 0.0 0.90811837
361 0.0 1.1210762
362 0.0 1.3881693
363 0.0 0.8344712
364 0.0 0.8756514
365 0.0 0.96590173
366 0.0 1.4658723
367 0.0 1.2853041
368 0.0 1.1065358
369 0.0 0.8060551
370 0.0 0.46240935
371 0.0 0.90005744
372 0.0 0.93329114
373 0.0 0.9950546
374 0.0 0.71656096
375 0.0 0.44048497
376 0.0 0.2720325
377 0.0 0.78381205
378 0.0 0.9013973
379 0.0 0.6414309
380 0.0 1.529006
381 0.0 1.0685326
382 0.0 1.1418722
383 0.0 0.8380908
384 1.0 0.24759144
385 1.0 0.8036899
386 1.0 0.46286842
387 1.0 0.45275816
388 1.0 0.41962096
389 1.0 0.3876485
390 1.0 0.41896573
391 1.0 0.5854821
392 1.0 0.6830648
393 1.0 0.26833737
394 1.0 0.30980054
395 1.0 0.13108818
396 1.0 0.37298214
397 1.0 0.99109876
398 1.0 0.90873444
399 1.0 1.0959189
400 1.0 0.30238965
401 1.0 0.3422607
402 1.0 0.30559066
403 1.0 0.29171744
404 1.0 0.83757055
405 1.0 0.25542292
406 1.0 0.4516141
407 1.0 0.22836556
408 1.0 0.76876414
409 1.0 0.41198036
410 1.0 0.3244293
411 1.0 0.53908306
412 1.0 0.42841554
413 1.0 0.7704886
414 1.0 0.47461525
415 1.0 0.5014627
416 1.0 0.30238876
417 1.0 0.5330859
418 1.0 0.89825284
419 1.0 0.47399575
420 1.0 0.44941482
421 1.0 0.39665926
422 1.0 0.9534805
423 1.0 1.0005023
424 1.0 0.54646367
425 1.0 0.36635536
426 1.0 0.44523987
427 1.0 0.5976719
428 1.0 0.58022857
429 1.0 0.37015936
430 1.0 0.58689433
431 1.0 0.37930065
432 1.0 0.25047368
433 1.0 0.76936984
434 1.0 0.56869316
435 1.0 0.44941482
436 1.0 0.32385364
437 1.0 0.62063664
438 1.0 0.27916828
439 1.0 0.64506596
440 1.0 1.1288033
441 1.0 0.3269656
442 1.0 0.8851725
443 1.0 0.3422626
444 1.0 0.9199312
445 1.0 0.6797005
446 1.0 0.80201405
447 1.0 0.3390093
448 0.0 0.8933723
449 0.0 0.45181167
450 0.0 0.7755558
451 0.0 0.9170028
452 0.0 0.87944484
453 0.0 1.4176978
454 0.0 0.1776983
455 0.0 0.43562916
456 0.0 0.34564987
457 0.0 0.7030917
458 0.0 0.67468536
459 0.0 0.26520613
460 0.0 1.030338
461 0.0 0.97913057
462 0.0 0.4559526
463 0.0 1.1910549
464 0.0 1.0185518
465 0.0 0.9821115
466 0.0 1.176237
467 0.0 1.087812
468 0.0 0.7373902
469 0.0 0.84811646
470 0.0 1.1581004
471 0.0 0.6889022
472 0.0 0.6636999
473 0.0 0.5627888
474 0.0 0.58586484
475 0.0 0.5001876
476 0.0 0.61233276
477 0.0 0.66746897
478 0.0 0.77732545
479 0.0 0.746429
480 0.0 1.1410381
481 0.0 0.45132363
482 0.0 1.0644653
483 0.0 1.1521715
484 0.0 0.8589924
485 0.0 0.3739019
486 0.0 0.54324925
487 0.0 0.4590098
488 0.0 0.4721272
489 0.0 1.0325557
490 0.0 1.1874043
491 0.0 1.0059091
492 0.0 0.7345006
493 0.0 1.0625867
494 0.0 1.1398975
495 0.0 0.48511484
496 0.0 1.2857566
497 0.0 0.6586709
498 0.0 0.651707
499 0.0 0.70840967
500 0.0 1.7738271
501 0.0 0.9665807
502 0.0 0.39023164
503 0.0 0.5186204
504 0.0 0.35005844
505 0.0 0.8235419
506 0.0 0.6183681
507 0.0 1.1117829
508 0.0 1.4014995
509 0.0 0.6137963
510 0.0 1.0423228
511 0.0 0.61877173
512 1.0 0.68272835
513 1.0 0.40877232
514 1.0 0.64313406
515 1.0 0.6390733
516 1.0 0.3627687
517 1.0 0.30794635
518 1.0 0.9008177
519 1.0 0.4555406
520 1.0 0.3643794
521 1.0 1.1110394
522 1.0 0.5235432
523 1.0 0.3465177
524 1.0 0.52571416
525 1.0 0.23968984
526 1.0 0.4494128
527 1.0 0.35443187
528 1.0 0.33056036
529 1.0 0.76694775
530 1.0 0.6750873
531 1.0 0.83818674
532 1.0 1.0204537
533 1.0 0.6143794
534 1.0 0.7939235
535 1.0 0.36392716
536 1.0 0.64550626
537 1.0 0.40683496
538 1.0 0.28370798
539 1.0 0.38686654
540 1.0 0.58308387
541 1.0 0.854331
542 1.0 0.76743484
543 1.0 0.18628809
544 1.0 1.0145721
545 1.0 0.5617803
546 1.0 0.9437151
547 1.0 0.46122062
548 1.0 0.26376903
549 1.0 0.8339412
550 1.0 0.3992779
551 1.0 0.39665926
552 1.0 0.3940934
553 1.0 0.27531078
554 1.0 0.2880318
555 1.0 0.89438564
556 1.0 0.47461593
557 1.0 0.46089897
558 1.0 0.40459427
559 1.0 0.5496527
560 1.0 0.40184948
561 1.0 0.9229123
562 1.0 0.53787756
563 1.0 0.47966236
564 1.0 0.4424285
565 1.0 0.50825596
566 1.0 0.6119575
567 1.0 0.6246188
568 1.0 0.28247985
569 1.0 0.5484094
570 1.0 0.41249147
571 1.0 0.76906854
572 1.0 0.45317996
573 1.0 0.20855133
574 1.0 0.39523843
575 1.0 0.33412325
576 0.0 1.3086809
577 0.0 0.94290423
578 0.0 0.9765891
579 0.0 0.9977885
580 0.0 0.52326226
581 0.0 0.35240695
582 0.0 0.48520258
583 0.0 0.5093155
584 0.0 0.53184
585 0.0 0.64277226
586 0.0 1.3249505
587 0.0 0.70660824
588 0.0 0.99530286
589 0.0 1.2551675
590 0.0 0.66774917
591 0.0 0.5229086
592 0.0 1.6116565
593 0.0 0.71261483
594 0.0 0.41370347
595 0.0 0.32038233
596 0.0 1.2544532
597 0.0 0.5466718
598 0.0 1.3402145
599 0.0 1.324188
600 0.0 0.7759912
601 0.0 0.34670934
602 0.0 0.84816647
603 0.0 0.5966555
604 0.0 0.93810767
605 0.0 1.0753611
606 0.0 1.4263872
607 0.0 0.39316407
608 0.0 0.6489947
609 0.0 1.1769899
610 0.0 0.9669575
611 0.0 1.0763214
612 0.0 0.5858587
613 0.0 0.6583055
614 0.0 1.2122006
615 0.0 0.9930674
616 0.0 1.5530078
617 0.0 1.2464824
618 0.0 0.47481218
619 0.0 1.0583776
620 0.0 0.8392752
621 0.0 0.6159937
622 0.0 0.52232206
623 0.0 0.7442215
624 0.0 1.0812644
625 0.0 0.9836525
626 0.0 0.8063789
627 0.0 0.7698988
628 0.0 0.6482402
629 0.0 0.95364016
630 0.0 0.28557545
631 0.0 0.52355236
632 0.0 0.9805377
633 0.0 0.8507941
634 0.0 0.8966173
635 0.0 0.752617
636 0.0 0.941952
637 0.0 0.9079148
638 0.0 0.79424304
639 0.0 1.0885355
640 1.0 0.6470705
641 1.0 0.33983222
642 1.0 0.8150252
643 1.0 0.42439744
644 1.0 0.5941641
645 1.0 0.7818286
646 1.0 0.77988243
647 1.0 0.28296477
648 1.0 0.44841075
649 1.0 0.52507967
650 1.0 0.5170621
651 1.0 0.46504483
652 1.0 0.8202362
653 1.0 0.69186455
654 1.0 0.44305077
655 1.0 0.9810837
656 1.0 0.1622715
657 1.0 0.5042022
658 1.0 0.33983248
659 1.0 0.8555212
660 1.0 0.9102518
661 1.0 0.5999046
662 1.0 0.51932764
663 1.0 0.2763226
664 1.0 0.64796
665 1.0 0.76889277
666 1.0 0.6819497
667 1.0 0.8978619
668 1.0 0.50983465
669 1.0 0.31078705
670 1.0 0.53354234
671 1.0 0.38798416
672 1.0 0.49740037
673 1.0 0.6322389
674 1.0 0.7932389
675 1.0 0.33309776
676 1.0 0.4418987
677 1.0 0.5561624
678 1.0 0.59747344
679 1.0 1.1369934
680 1.0 0.47757223
681 1.0 0.98094153
682 1.0 0.31876704
683 1.0 0.8260428
684 1.0 1.2467754
685 1.0 0.21672201
686 1.0 0.42399663
687 1.0 0.16370639
688 1.0 0.4461416
689 1.0 0.9725356
690 1.0 0.6807396
691 1.0 0.66777444
692 1.0 0.5546476
693 1.0 1.0030475
694 1.0 0.64313406
695 1.0 0.17885111
696 1.0 0.6210759
697 1.0 1.2754894
698 1.0 0.8318119
699 1.0 0.30237028
700 1.0 0.50702316
701 1.0 0.48820168
702 1.0 0.20393938
703 1.0 0.27020252
704 0.0 0.97421616
705 0.0 1.1721785
706 0.0 1.1406845
707 0.0 0.62170005
708 0.0 0.5515838
709 0.0 0.844168
710 0.0 0.61233914
711 0.0 1.1366334
712 0.0 0.7472118
713 0.0 1.6851532
714 0.0 0.3430722
715 0.0 0.46172062
716 0.0 0.42246178
717 0.0 0.9268429
718 0.0 1.1891906
719 0.0 1.1387944
720 0.0 1.2700849
721 0.0 0.95687383
722 0.0 0.57600474
723 0.0 0.32498404
724 0.0 1.1737989
725 0.0 0.370008
726 0.0 1.1180155
727 0.0 0.31976515
728 0.0 0.71849215
729 0.0 0.84208524
730 0.0 0.5805561
731 0.0 0.6823199
732 0.0 0.54181033
733 0.0 0.70181805
734 0.0 1.0005625
735 0.0 0.7384053
736 0.0 0.6247588
737 0.0 0.53888553
738 0.0 0.5463852
739 0.0 1.2055812
740 0.0 1.2304937
741 0.0 0.9721449
742 0.0 0.8161281
743 0.0 1.0689733
744 0.0 0.89340293
745 0.0 0.83936745
746 0.0 1.2390501
747 0.0 0.4777318
748 0.0 0.4198093
749 0.0 0.8992663
750 0.0 0.49865186
751 0.0 1.2288355
752 0.0 0.8632791
753 0.0 0.92979425
754 0.0 1.0827316
755 0.0 1.0359505
756 0.0 0.8248268
757 0.0 0.8311527
758 0.0 0.9451742
759 0.0 0.6811549
760 0.0 1.0262831
761 0.0 0.48609233
762 0.0 0.621196
763 0.0 0.6692631
764 0.0 1.1734536
765 0.0 1.32221
766 0.0 0.6229331
767 0.0 0.3305597
768 1.0 0.56302875
769 1.0 0.56967056
770 1.0 0.4770425
771 1.0 0.2431149
772 1.0 0.35465375
773 1.0 0.7102021
774 1.0 0.62182915
775 1.0 0.7215642
776 1.0 0.82133466
777 1.0 0.32336825
778 1.0 0.3870278
779 1.0 0.2084757
780 1.0 0.54938966
781 1.0 0.53408694
782 1.0 0.8943872
783 1.0 0.69302994
784 1.0 0.8109665
785 1.0 0.73194826
786 1.0 0.5894401
787 1.0 0.35555953
788 1.0 0.25363225
789 1.0 1.2833219
790 1.0 0.49321595
791 1.0 0.2417412
792 1.0 0.40558606
793 1.0 0.471077
794 1.0 0.21366917
795 1.0 0.33359003
796 1.0 0.5657287
797 1.0 0.48184294
798 1.0 0.6119596
799 1.0 0.5789651
800 1.0 1.2579736
801 1.0 0.36290783
802 1.0 0.38653195
803 1.0 0.60422903
804 1.0 0.5615065
805 1.0 0.5395918
806 1.0 0.41860572
807 1.0 0.6560804
808 1.0 1.0105795
809 1.0 0.42540464
810 1.0 0.84472203
811 1.0 0.47729295
812 1.0 0.7219407
813 1.0 0.35881928
814 1.0 0.17250124
815 1.0 0.532426
816 1.0 0.9850471
817 1.0 0.6951562
818 1.0 0.5232482
819 1.0 0.34345523
820 1.0 0.90275955
821 1.0 1.0324398
822 1.0 0.69155574
823 1.0 0.53325325
824 1.0 0.28471875
825 1.0 0.53341174
826 1.0 0.3715894
827 1.0 0.25699958
828 1.0 0.9520443
829 1.0 0.82867324
830 1.0 0.13669047
831 1.0 0.43300423
832 0.0 0.60545725
833 0.0 1.1921418
834 0.0 1.1893204
835 0.0 0.7557583
836 0.0 1.4888368
837 0.0 0.63454914
838 0.0 0.710258
839 0.0 0.9747105
840 0.0 0.54747313
841 0.0 0.9939722
842 0.0 0.66673934
843 0.0 1.2605007
844 0.0 0.75107676
845 0.0 0.42767748
846 0.0 0.613979
847 0.0 1.4011256
848 0.0 1.1589452
849 0.0 0.8413268
850 0.0 1.1609422
851 0.0 1.0429202
852 0.0 1.0841954
853 0.0 1.4715582
854 0.0 0.86121595
855 0.0 1.0369749
856 0.0 1.0961206
857 0.0 0.87909466
858 0.0 0.5845672
859 0.0 0.23187263
860 0.0 1.8225676
861 0.0 0.57440853
862 0.0 0.60622793
863 0.0 0.30156857
864 0.0 0.66405946
865 0.0 1.1497813
866 0.0 0.5490239
867 0.0 1.0048304
868 0.0 1.9635398
869 0.0 0.73589575
870 0.0 0.5613796
871 0.0 0.7892225
872 0.0 1.1981046
873 0.0 0.42303032
874 0.0 0.5071278
875 0.0 0.4280598
876 0.0 0.86137205
877 0.0 0.9848649
878 0.0 0.8426806
879 0.0 0.5398148
880 0.0 0.80314624
881 0.0 0.6515514
882 0.0 0.87381923
883 0.0 0.9927419
884 0.0 1.5835317
885 0.0 0.53112644
886 0.0 0.7199531
887 0.0 0.7539828
888 0.0 0.908746
889 0.0 0.98632497
890 0.0 0.5624406
891 0.0 1.2288946
892 0.0 1.0802982
893 0.0 1.1258916
894 0.0 0.5557468
895 0.0 0.53746104
896 1.0 0.623371
897 1.0 0.5977877
898 1.0 0.45343503
899 1.0 0.3221914
900 1.0 0.45978406
901 1.0 0.21837589
902 1.0 0.7359533
903 1.0 0.38637984
904 1.0 0.35757616
905 1.0 0.28473687
906 1.0 0.81841034
907 1.0 0.65387505
908 1.0 0.5106618
909 1.0 0.9280935
910 1.0 0.7313786
911 1.0 0.34715542
912 1.0 0.8835109
913 1.0 0.3231916
914 1.0 0.8581938
915 1.0 0.64812386
916 1.0 0.39890787
917 1.0 0.29612118
918 1.0 0.48110506
919 1.0 0.63803273
920 1.0 0.514642
921 1.0 0.6592395
922 1.0 1.0142224
923 1.0 0.68259966
924 1.0 0.52733934
925 1.0 0.9244516
926 1.0 0.33628675
927 1.0 1.242606
928 1.0 0.38310277
929 1.0 1.0624295
930 1.0 0.3478518
931 1.0 0.24866502
932 1.0 0.59179384
933 1.0 0.143437
934 1.0 0.42364013
935 1.0 0.4739923
936 1.0 0.78674704
937 1.0 0.3549793
938 1.0 0.53950375
939 1.0 0.67364615
940 1.0 0.67847335
941 1.0 0.7052575
942 1.0 0.49181604
943 1.0 0.41017616
944 1.0 0.6968734
945 1.0 0.66826034
946 1.0 0.41794023
947 1.0 0.26373574
948 1.0 0.44305077
949 1.0 0.62084585
950 1.0 1.2688371
951 1.0 0.70444745
952 1.0 0.7404693
953 1.0 0.29081717
954 1.0 0.5795093
955 1.0 0.4831326
956 1.0 0.69910693
957 1.0 0.3422626
958 1.0 0.8394815
959 1.0 0.4663125
960 0.0 0.41390797
961 0.0 1.2312107
962 0.0 0.8095342
963 0.0 1.3605953
964 0.0 0.36620715
965 0.0 1.0656734
966 0.0 0.55039227
967 0.0 0.8843795
968 0.0 1.3471131
969 0.0 0.4124865
970 0.0 1.1774238
971 0.0 0.80564135
972 0.0 0.74723196
973 0.0 0.531812
974 0.0 1.0076805
975 0.0 0.77039
976 0.0 1.0568018
977 0.0 0.7943686
978 0.0 0.4291765
979 0.0 1.0420343
980 0.0 1.0570977
981 0.0 0.98784876
982 0.0 1.0403368
983 0.0 0.645158
984 0.0 0.94231164
985 0.0 0.7566261
986 0.0 0.5198355
987 0.0 0.5957284
988 0.0 0.8907357
989 0.0 0.96186286
990 0.0 1.3060324
991 0.0 0.9248091
992 0.0 0.28871816
993 0.0 0.98067576
994 0.0 0.78060395
995 0.0 0.3958225
996 0.0 0.93536353
997 0.0 0.7184155
998 0.0 0.33332813
999 0.0 1.1783513
1000 0.0 1.0585384
1001 0.0 0.41387957
1002 0.0 0.5451995
1003 0.0 0.53573895
1004 0.0 0.9784715
1005 0.0 1.051487
1006 0.0 0.71049774
1007 0.0 0.82299256
1008 0.0 1.182921
1009 0.0 0.38313976
1010 0.0 0.3012546
1011 0.0 1.1791306
1012 0.0 0.941708
1013 0.0 0.7331643
1014 0.0 1.0120047
1015 0.0 0.7589608
1016 0.0 0.7789032
1017 0.0 0.48722094
1018 0.0 1.2337184
1019 0.0 0.870363
1020 0.0 0.98589575
1021 0.0 0.92716223
1022 0.0 0.26545915
1023 0.0 0.8322307
1024 1.0 0.36165765
1025 1.0 0.7953373
1026 1.0 0.40016794
1027 1.0 0.3715894
1028 1.0 0.2433268
1029 1.0 0.22142261
1030 1.0 0.86645544
1031 1.0 0.31373698
1032 1.0 0.29955345
1033 1.0 0.24928638
1034 1.0 0.26885372
1035 1.0 0.58689433
1036 1.0 0.50873506
1037 1.0 0.53271484
1038 1.0 0.43984288
1039 1.0 0.5606296
1040 1.0 0.46015307
1041 1.0 0.36276704
1042 1.0 0.49688625
1043 1.0 0.51436967
1044 1.0 0.89368343
1045 1.0 0.50485015
1046 1.0 0.98980594
1047 1.0 0.45275816
1048 1.0 0.65837336
1049 1.0 0.43306684
1050 1.0 0.6024037
1051 1.0 0.18765226
1052 1.0 0.6353417
1053 1.0 0.24999763
1054 1.0 0.69515836
1055 1.0 0.42126533
1056 1.0 0.965326
1057 1.0 0.284245
1058 1.0 0.44941482
1059 1.0 0.5818691
1060 1.0 0.53672266
1061 1.0 0.6901556
1062 1.0 0.40266272
1063 1.0 0.23102
1064 1.0 0.6993331
1065 1.0 0.17411911
1066 1.0 0.60702425
1067 1.0 0.6923249
1068 1.0 0.5330919
1069 1.0 0.5641488
1070 1.0 0.48562288
1071 1.0 0.7021539
1072 1.0 0.6381316
1073 1.0 0.5695428
1074 1.0 0.44305
1075 1.0 0.24508181
1076 1.0 0.54804164
1077 1.0 0.50404614
1078 1.0 1.000854
1079 1.0 0.39077735
1080 1.0 0.27465576
1081 1.0 0.1622715
1082 1.0 0.35073182
1083 1.0 1.0351099
1084 1.0 0.74100065
1085 1.0 0.5771614
1086 1.0 0.4869737
1087 1.0 0.9757143
1088 0.0 0.5563462
1089 0.0 0.3721993
1090 0.0 0.23459499
1091 0.0 0.6766272
1092 0.0 0.35830504
1093 0.0 0.5987022
1094 0.0 1.2263144
1095 0.0 0.9402048
1096 0.0 1.0494195
1097 0.0 1.5224171
1098 0.0 0.40137684
1099 0.0 0.38355038
1100 0.0 1.2736093
1101 0.0 0.8971798
1102 0.0 0.4646112
1103 0.0 1.2493178
1104 0.0 1.2432945
1105 0.0 0.9868144
1106 0.0 1.0152831
1107 0.0 1.1991146
1108 0.0 0.8730568
1109 0.0 1.4046471
1110 0.0 1.1382235
1111 0.0 0.81033945
1112 0.0 1.0811749
1113 0.0 0.7059464
1114 0.0 1.2560437
1115 0.0 1.3338827
1116 0.0 0.7006447
1117 0.0 1.2262242
1118 0.0 1.1825734
1119 0.0 0.27074525
1120 0.0 0.95648843
1121 0.0 0.40591264
1122 0.0 0.5382309
1123 0.0 0.78051525
1124 0.0 0.7386432
1125 0.0 0.62326163
1126 0.0 0.64302963
1127 0.0 1.0032942
1128 0.0 0.7243962
1129 0.0 1.3929696
1130 0.0 0.5160023
1131 0.0 0.82974577
1132 0.0 0.8664962
1133 0.0 1.0901548
1134 0.0 0.62116694
1135 0.0 0.6358464
1136 0.0 0.46210065
1137 0.0 0.8740122
1138 0.0 0.71062696
1139 0.0 0.49584076
1140 0.0 0.27923164
1141 0.0 1.4032423
1142 0.0 0.595129
1143 0.0 0.978847
1144 0.0 0.43082887
1145 0.0 0.91561866
1146 0.0 1.0593961
1147 0.0 1.252107
1148 0.0 0.79737246
